[Header]\r\n[Footer]\r\n[Header]\r\n[Footer]\r\n[Header]\r\n2013-12-11 15:13:30,588 [11] DEBUG BWCMAPI.Global api request = /yada
2013-12-11 16:05:22,815 [12] DEBUG BWCMAPI.Global startup
2013-12-11 16:05:22,822 [12] DEBUG BWCMAPI.Global user name = redshirt
2013-12-11 16:05:23,559 [12] DEBUG BWCMAPI.Global api request = /users
2013-12-11 16:05:27,822 [12] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:05:32,831 [6] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:05:37,833 [9] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:05:40,903 [13] DEBUG BWCMAPI.Global shutting down
2013-12-11 16:05:48,580 [9] DEBUG BWCMAPI.Global startup
2013-12-11 16:05:48,588 [9] DEBUG BWCMAPI.Global user name = redshirt
2013-12-11 16:05:48,894 [9] DEBUG BWCMAPI.Global api request = /users
2013-12-11 16:05:53,589 [12] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:05:55,405 [4] DEBUG BWCMAPI.Global api request = /users/add
2013-12-11 16:05:58,597 [12] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:06:00,717 [6] DEBUG BWCMAPI.Global api request = /users
2013-12-11 16:06:03,605 [12] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:06:08,614 [6] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:06:13,622 [13] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:06:18,627 [6] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:06:23,634 [6] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:06:28,643 [6] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:06:33,652 [9] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:06:38,657 [12] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:06:43,666 [13] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:06:48,673 [6] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:06:53,681 [4] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:06:58,689 [9] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:07:03,696 [12] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:07:08,704 [4] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:07:13,712 [12] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:07:18,719 [6] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:07:23,726 [13] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:07:28,734 [12] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:07:33,743 [12] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:07:38,752 [12] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:07:43,757 [6] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:07:48,764 [12] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:07:53,773 [13] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:07:58,781 [6] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:08:03,791 [9] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:08:08,795 [13] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:08:13,804 [12] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:08:18,811 [13] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:08:23,823 [14] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:08:28,832 [15] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:08:33,840 [14] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:08:38,840 [9] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:08:43,848 [4] DEBUG BWCMAPI.Global checkpoint
2013-12-11 16:08:44,903 [9] DEBUG BWCMAPI.Global shutting down
2013-12-11 16:10:55,324 [10] DEBUG BWCMAPI.Global startup
2013-12-11 16:10:55,332 [10] DEBUG BWCMAPI.Global user name = redshirt
2013-12-11 16:10:55,332 [10] DEBUG BWCMAPI.Global user name = newby
2013-12-11 16:10:55,508 [10] DEBUG BWCMAPI.Global api request = /info
2013-12-11 16:11:01,253 [8] DEBUG BWCMAPI.Global api request = /login
2013-12-11 16:11:01,255 [8] DEBUG BWCMAPI.Global System.ArgumentNullException: Value cannot be null.
Parameter name: key
   at System.ThrowHelper.ThrowArgumentNullException(ExceptionArgument argument)
   at System.Collections.Generic.Dictionary`2.FindEntry(TKey key)
   at System.Collections.Generic.Dictionary`2.ContainsKey(TKey key)
   at BWCMAPI.api.Page_Load(Object sender, EventArgs ea) in C:\Zenith\Baldwin Wallace\Scala\BWCM\BWCMAPI\api.aspx.cs:line 28
2013-12-11 16:11:47,559 [16] DEBUG BWCMAPI.Global shutting down
2013-12-11 16:11:53,416 [18] DEBUG BWCMAPI.Global startup
2013-12-11 16:11:53,424 [18] DEBUG BWCMAPI.Global user name = redshirt
2013-12-11 16:11:53,424 [18] DEBUG BWCMAPI.Global user name = newby
2013-12-11 16:11:53,590 [18] DEBUG BWCMAPI.Global api request = /login
2013-12-11 16:11:53,591 [18] DEBUG BWCMAPI.Global System.ArgumentNullException: Value cannot be null.
Parameter name: key
   at System.ThrowHelper.ThrowArgumentNullException(ExceptionArgument argument)
   at System.Collections.Generic.Dictionary`2.FindEntry(TKey key)
   at System.Collections.Generic.Dictionary`2.ContainsKey(TKey key)
   at BWCMAPI.api.Page_Load(Object sender, EventArgs ea) in C:\Zenith\Baldwin Wallace\Scala\BWCM\BWCMAPI\api.aspx.cs:line 28
2013-12-11 16:12:45,030 [20] DEBUG BWCMAPI.Global shutting down
2013-12-11 16:12:49,180 [10] DEBUG BWCMAPI.Global startup
2013-12-11 16:12:49,188 [10] DEBUG BWCMAPI.Global user name = redshirt
2013-12-11 16:12:49,188 [10] DEBUG BWCMAPI.Global user name = newby
2013-12-11 16:12:49,351 [10] DEBUG BWCMAPI.Global api request = /login
2013-12-11 16:12:59,533 [16] DEBUG BWCMAPI.Global api request = /login
2013-12-11 16:13:23,874 [8] DEBUG BWCMAPI.Global shutting down
2013-12-11 16:13:30,895 [20] DEBUG BWCMAPI.Global startup
2013-12-11 16:13:30,903 [20] DEBUG BWCMAPI.Global user name = redshirt
2013-12-11 16:13:30,903 [20] DEBUG BWCMAPI.Global user name = newby
2013-12-11 16:13:40,193 [20] DEBUG BWCMAPI.Global api request = /users
2013-12-11 16:13:49,683 [10] DEBUG BWCMAPI.Global api request = /users
2013-12-11 16:14:12,588 [8] DEBUG BWCMAPI.Global shutting down
2013-12-11 16:14:20,972 [10] DEBUG BWCMAPI.Global startup
2013-12-11 16:14:20,979 [10] DEBUG BWCMAPI.Global user name = redshirt
2013-12-11 16:14:20,979 [10] DEBUG BWCMAPI.Global user name = newby
2013-12-11 16:14:21,218 [10] DEBUG BWCMAPI.Global api request = /login
2013-12-11 16:14:36,221 [16] DEBUG BWCMAPI.Global shutting down
2013-12-11 16:14:39,393 [10] DEBUG BWCMAPI.Global startup
2013-12-11 16:14:39,401 [10] DEBUG BWCMAPI.Global user name = redshirt
2013-12-11 16:14:39,401 [10] DEBUG BWCMAPI.Global user name = newby
2013-12-11 16:14:39,575 [10] DEBUG BWCMAPI.Global api request = /login
2013-12-11 16:14:45,045 [19] DEBUG BWCMAPI.Global api request = /login
2013-12-11 16:15:18,093 [16] DEBUG BWCMAPI.Global shutting down
2013-12-11 16:15:22,155 [19] DEBUG BWCMAPI.Global startup
2013-12-11 16:15:22,163 [19] DEBUG BWCMAPI.Global user name = redshirt
2013-12-11 16:15:22,163 [19] DEBUG BWCMAPI.Global user name = newby
2013-12-11 16:15:22,319 [19] DEBUG BWCMAPI.Global api request = /info
2013-12-11 16:19:05,629 [19] DEBUG BWCMAPI.Global shutting down
2013-12-11 16:19:19,110 [18] DEBUG BWCMAPI.Global startup
2013-12-11 16:19:19,117 [18] DEBUG BWCMAPI.Global user name = redshirt
2013-12-11 16:19:19,117 [18] DEBUG BWCMAPI.Global user name = newby
2013-12-11 16:19:19,320 [18] DEBUG BWCMAPI.Global api request = /login
2013-12-11 16:19:23,990 [19] DEBUG BWCMAPI.Global api request = /info
2013-12-11 16:19:34,424 [10] DEBUG BWCMAPI.Global api request = /logout
2013-12-11 16:19:37,584 [19] DEBUG BWCMAPI.Global api request = /info
2013-12-11 16:26:05,031 [18] DEBUG BWCMAPI.Global shutting down
2013-12-11 16:26:13,788 [16] DEBUG BWCMAPI.Global startup
2013-12-11 16:26:13,795 [16] DEBUG BWCMAPI.Global user name = redshirt
2013-12-11 16:26:13,795 [16] DEBUG BWCMAPI.Global user name = newby
2013-12-11 16:26:13,960 [16] DEBUG BWCMAPI.Global api request = /users/add
2013-12-11 16:26:28,839 [18] DEBUG BWCMAPI.Global api request = /login
2013-12-11 16:26:28,842 [18] DEBUG BWCMAPI.Global System.NullReferenceException: Object reference not set to an instance of an object.
   at BWCMAPI.api.Page_Load(Object sender, EventArgs ea) in C:\Zenith\Baldwin Wallace\Scala\BWCM\BWCMAPI\api.aspx.cs:line 41
2013-12-11 16:26:56,079 [19] DEBUG BWCMAPI.Global shutting down
2013-12-11 16:26:59,732 [18] DEBUG BWCMAPI.Global startup
2013-12-11 16:26:59,739 [18] DEBUG BWCMAPI.Global user name = redshirt
2013-12-11 16:26:59,740 [18] DEBUG BWCMAPI.Global user name = newby
2013-12-11 16:26:59,945 [18] DEBUG BWCMAPI.Global api request = /login
2013-12-11 16:27:04,238 [16] DEBUG BWCMAPI.Global api request = /users
2013-12-11 16:27:07,100 [20] DEBUG BWCMAPI.Global api request = /users/add
2013-12-11 16:27:14,222 [20] DEBUG BWCMAPI.Global api request = /login
2013-12-11 16:27:18,118 [8] DEBUG BWCMAPI.Global api request = /users/add
2013-12-11 16:27:18,154 [8] DEBUG BWCMAPI.Global System.ArgumentException: An item with the same key has already been added.
   at System.ThrowHelper.ThrowArgumentException(ExceptionResource resource)
   at System.Collections.Generic.Dictionary`2.Insert(TKey key, TValue value, Boolean add)
   at System.Collections.Generic.Dictionary`2.Add(TKey key, TValue value)
   at BWCMAPI.data.BUser.set_user(String value) in C:\Zenith\Baldwin Wallace\Scala\BWCM\BWCMAPI\data\BUser.cs:line 25
   at BWCMAPI.api.Page_Load(Object sender, EventArgs ea) in C:\Zenith\Baldwin Wallace\Scala\BWCM\BWCMAPI\api.aspx.cs:line 66
2013-12-11 16:34:58,129 [18] DEBUG BWCMAPI.Global shutting down
2013-12-11 16:52:53,430 [15] DEBUG BWCMAPI.Global startup
2013-12-11 16:52:53,438 [15] DEBUG BWCMAPI.Global user name = redshirt
2013-12-11 16:52:53,438 [15] DEBUG BWCMAPI.Global user name = newby
2013-12-11 16:52:53,608 [15] DEBUG BWCMAPI.Global api request = /players
2013-12-11 16:52:59,070 [14] DEBUG BWCMAPI.Global api request = /login
2013-12-11 16:53:02,636 [13] DEBUG BWCMAPI.Global api request = /players
2013-12-11 16:53:22,896 [15] DEBUG BWCMAPI.Global shutting down
2013-12-11 16:53:35,642 [6] DEBUG BWCMAPI.Global startup
2013-12-11 16:53:35,650 [6] DEBUG BWCMAPI.Global user name = redshirt
2013-12-11 16:53:35,650 [6] DEBUG BWCMAPI.Global user name = newby
2013-12-11 16:53:35,808 [6] DEBUG BWCMAPI.Global api request = /login
2013-12-11 16:53:39,800 [15] DEBUG BWCMAPI.Global api request = /players
2013-12-11 16:53:39,800 [15] DEBUG BWCMAPI.Global user newby has unknown group name new group
2013-12-11 16:53:47,933 [9] DEBUG BWCMAPI.Global api request = /login
2013-12-11 16:53:51,109 [15] DEBUG BWCMAPI.Global api request = /players
2013-12-11 16:54:48,361 [9] DEBUG BWCMAPI.Global shutting down
2013-12-11 16:54:53,785 [4] DEBUG BWCMAPI.Global startup
2013-12-11 16:54:53,798 [4] DEBUG BWCMAPI.Global user name = redshirt
