[Header]\r\n[Footer]\r\n[Header]\r\n[Footer]\r\n[Header]\r\n2013-12-11 15:13:30,588 [11] DEBUG BWCMAPI.Global api request = /yada
2013-12-16 08:12:52,551 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:12:57,559 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:13:02,571 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:13:07,580 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:13:12,581 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:13:17,590 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:13:22,595 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:13:27,604 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:13:32,618 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:13:37,618 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:13:42,627 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:13:47,637 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:13:52,642 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:13:57,650 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:14:02,657 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:14:07,665 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:14:12,672 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:14:17,682 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:14:22,690 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:14:27,698 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:14:32,702 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:14:37,710 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:14:42,718 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:14:47,728 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:14:52,733 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:14:57,741 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:15:02,749 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:15:07,757 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:15:12,764 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:15:17,772 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:15:22,779 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:15:27,788 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:15:32,795 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:15:37,803 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:15:42,809 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:15:47,819 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:15:52,827 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:15:57,835 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:16:02,840 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:16:07,848 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:16:12,856 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:16:17,864 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:16:22,871 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:16:27,879 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:16:32,886 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:16:37,895 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:16:42,903 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:16:47,912 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:16:52,917 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:16:57,926 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:17:02,932 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:17:07,940 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:17:12,947 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:17:17,957 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:17:22,965 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:17:27,973 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:17:32,978 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:17:37,986 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:17:42,994 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:17:48,003 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:17:53,008 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:17:58,016 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:18:03,023 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:18:08,032 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:18:13,039 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:18:18,048 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:18:23,054 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:18:28,062 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:18:33,076 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:18:38,076 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:18:43,084 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:18:48,092 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:18:53,099 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:18:58,108 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:19:03,115 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:19:08,123 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:19:13,130 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:19:18,140 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:19:23,148 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:19:28,156 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:19:33,161 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:19:38,169 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:19:43,177 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:19:48,187 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:19:53,191 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:19:58,199 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:20:03,207 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:20:08,216 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:20:13,222 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:20:18,229 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:20:23,237 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:20:28,246 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:20:33,252 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:20:38,260 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:20:43,268 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:20:48,278 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:20:53,283 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:20:58,291 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:21:03,299 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:21:08,307 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:21:13,313 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:21:18,322 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:21:23,329 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:21:28,337 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:21:33,344 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:21:38,353 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:21:43,359 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:21:48,368 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:21:53,380 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:21:58,388 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:22:03,390 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:22:08,398 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:22:13,405 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:22:18,415 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:22:23,423 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:22:28,432 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:22:33,436 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:22:38,444 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:22:43,452 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:22:48,462 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:22:53,466 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:22:58,474 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:23:03,481 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:23:08,489 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:23:13,497 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:23:18,507 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:23:23,512 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:23:28,519 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:23:33,526 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:23:38,535 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:23:43,542 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:23:48,550 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:23:53,557 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:23:58,566 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:24:03,573 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:24:08,581 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:24:13,588 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:24:18,597 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:24:23,603 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:24:28,611 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:24:33,619 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:24:38,627 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:24:43,633 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:24:48,644 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:24:53,649 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:24:58,657 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:25:03,665 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:25:08,674 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:25:13,680 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:25:18,689 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:25:23,698 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:25:28,706 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:25:33,710 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:25:38,718 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:25:43,727 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:25:48,737 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:25:53,740 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:25:58,749 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:26:03,756 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:26:08,764 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:26:13,770 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:26:18,779 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:26:23,787 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:26:28,795 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:26:33,802 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:26:38,810 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:26:43,817 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:26:48,826 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:26:53,833 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:26:58,841 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:27:03,848 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:27:08,857 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:27:13,865 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:27:18,875 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:27:23,877 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:27:28,886 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:27:33,893 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:27:38,901 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:27:43,910 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:27:48,919 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:27:53,924 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:27:58,932 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:28:03,939 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:28:08,947 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:28:13,955 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:28:18,966 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:28:23,974 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:28:28,982 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:28:33,984 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:28:38,993 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:28:44,001 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:28:49,009 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:28:54,016 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:28:59,024 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:29:04,031 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:29:09,038 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:29:14,046 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:29:19,055 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:29:24,061 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:29:29,070 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:29:34,077 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:29:39,085 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:29:44,092 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:29:49,100 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:29:54,114 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:29:59,114 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:30:04,122 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:30:09,130 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:30:14,137 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:30:19,147 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:30:24,153 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:30:29,161 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:30:34,168 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:30:39,177 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:30:44,184 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:30:49,194 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:30:54,199 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:30:59,207 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:31:04,214 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:31:09,222 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:31:14,229 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:31:19,237 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:31:24,245 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:31:29,254 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:31:34,260 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:31:39,268 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:31:44,275 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:31:49,285 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:31:54,290 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:31:59,298 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:32:04,306 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:32:09,314 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:32:14,321 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:32:19,328 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:32:24,336 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:32:29,344 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:32:34,351 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:32:39,360 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:32:44,367 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:32:49,376 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:32:54,381 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:32:59,390 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:33:04,397 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:33:09,405 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:33:14,413 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:33:19,423 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:33:24,431 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:33:29,439 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:33:34,443 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:33:39,451 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:33:44,459 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:33:49,469 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:33:54,474 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:33:59,482 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:34:04,488 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:34:09,497 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:34:14,504 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:34:19,514 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:34:24,523 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:34:29,531 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:34:34,535 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:34:39,543 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:34:44,550 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:34:49,558 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:34:54,564 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:34:59,573 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:35:04,580 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:35:09,588 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:35:14,595 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:35:19,605 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:35:24,611 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:35:29,619 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:35:34,626 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:35:39,634 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:35:44,641 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:35:49,651 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:35:54,657 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:35:59,665 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:36:04,671 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:36:09,680 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:36:14,687 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:36:19,696 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:36:24,703 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:36:29,712 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:36:34,718 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:36:39,726 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:36:44,735 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:36:49,745 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:36:54,748 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:36:59,756 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:37:04,765 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:37:09,773 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:37:14,779 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:37:19,788 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:37:24,794 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:37:29,802 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:37:34,808 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:37:39,817 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:37:44,825 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:37:49,834 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:37:54,841 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:37:59,848 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:38:04,855 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:38:09,863 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:38:14,872 [14] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:38:19,882 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:38:24,886 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:38:29,895 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:38:34,901 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:38:39,909 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:38:44,915 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:38:49,925 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:38:54,931 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:38:59,939 [24] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:39:04,947 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:39:09,955 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:39:14,962 [23] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:39:19,972 [25] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:39:24,981 [26] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:39:29,989 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:39:34,998 [22] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:39:40,007 [27] DEBUG BWCMAPI.Global checkpoint data to disk
2013-12-16 08:39:45,007 [27] DEBUG BWCMAPI.Global checkpoint data to disk
